Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
2,pi+,-5.034,0.0963527,18.3754,-0.130238,1097.55,-0.0594243,82.3682
1,pi-,-2.3943,0.0764604,-18.5915,-0.241902,450.95,0.705519,623.056
2,mu-,4.82836,-0.199053,8.8469,0.0979467,1097.45,0.568384,513.566
1,pi-,-7.44367,-0.330996,15.4643,0.0120584,450.95,0.987002,910.838
1,pi+,-0.828721,0.00734231,0.249297,0.0185216,450.95,0.551602,429.764
2,pi+,-2.54731,-0.014212,-0.262737,0.0116622,1097.45,0.550445,428.592
3,pi+,-0.382058,-0.0182617,-1.05997,-0.00453507,1769.95,0.549182,427.381
1,pi-,-1.61496,7.7565e-05,-7.29947,-0.00599554,450.95,0.061689,13.1428
1,pi-,-17.9705,-0.0594848,1.74945,-0.35274,450.95,1.52107,1429.22
1,pi-,14.786,0.351406,-14.4484,-0.130533,450.95,1.19846,1123.89
2,pi-,-15.0193,0.148823,-13.3144,-0.292228,1097.45,1.08598,1003.4
1,pi+,11.0714,0.140965,4.86577,0.00150885,450.95,0.711359,598.932
2,pi+,13.503,-0.110996,-15.0331,-0.0714165,1097.45,0.700997,587.269
1,pi+,-17.161,-0.414214,-6.27123,0.111116,450.95,1.68958,1609.17
1,pi+,-6.71225,-0.240313,-4.36684,0.16723,450.95,1.90164,1789.53
1,pi-,5.80832,0.290178,-17.9192,-0.153422,450.95,1.60505,1504.63
3,pi+,0.780056,-0.0250466,14.4007,-0.114813,1769.95,0.40965,308.874
1,pi+,-3.225,0.162323,10.2481,0.183751,450.95,0.800348,709.046
1,pi-,-4.83214,-0.319191,13.0774,-0.0333299,450.95,1.40426,1307.64
1,mu+,11.2587,0.0648608,4.07527,0.00223674,450.95,0.113238,62.2649
1,mu-,0.301154,-0.14247,12.8783,0.0435644,450.95,0.365554,302.985
2,mu-,2.87096,0.0112787,18.4157,0.137788,1097.45,0.342027,278.085
3,mu-,-52.5137,-0.0209339,24.0142,-0.0947745,1769.95,0.24852,181.302
1,mu-,1.24645,-0.232436,7.94287,0.137871,450.95,1.38321,1307.66
3,mu-,-20.2001,-0.178374,48.431,-0.0329772,1769.95,1.07804,992.626
1,pi-,12.0781,0.230404,-2.88378,0.0448327,450.95,0.746946,655.731
3,mu-,19.9168,-0.0769764,13.3485,0.129866,1769.95,0.514421,440.769
