x,y,z,bx,by,bz,particle,energy,volume
-83.079174,-7.386704,1230.000000,-2.225369,-0.197861,20.469558,pi+,395.395596,Solenoid_1_FieldVolume
21.426301,3.014393,380.000000,0.573927,0.080744,20.469558,pi+,1669.823556,Solenoid_1_FieldVolume
226.355027,-175.701029,4215.500000,1.915401,-1.486770,6.298326,pi+,1648.801072,Solenoid_1_FieldVolume
-25.378425,61.903480,-470.000000,-0.679790,1.658154,20.469558,mu+,154.506814,Solenoid_1_FieldVolume
-7.802814,-14.804766,3780.000000,-0.096465,-0.183029,9.447488,mu+,153.157016,Solenoid_1_FieldVolume
27.710529,-42.816933,2080.000000,0.456774,-0.705784,12.596651,pi-,606.124853,Solenoid_1_FieldVolume
-97.782375,52.756176,-470.000000,-2.619211,1.413133,20.469558,pi-,600.536828,Solenoid_1_FieldVolume
-8.383291,-70.770172,3780.000000,-0.103641,-0.874919,9.447488,pi-,599.659328,Solenoid_1_FieldVolume
-324.105000,429.366506,7660.000000,-1.335618,1.769394,3.149163,pi-,505.053225,Solenoid_1_FieldVolume
-44.881454,-23.542316,-470.000000,-1.202200,-0.630607,20.469558,pi-,388.195765,Solenoid_1_FieldVolume
221.886245,202.410883,1230.000000,5.943472,5.421802,20.469558,pi-,295.083437,Solenoid_1_FieldVolume
65.121495,51.808529,2080.000000,1.073448,0.854000,12.596651,pi-,763.223352,Solenoid_1_FieldVolume
303.431397,-158.509022,5960.000000,1.875634,-0.979810,4.723744,mu-,665.006720,Solenoid_1_FieldVolume
277.354409,-89.611411,10210.000000,1.142961,-0.369283,3.149163,mu-,629.294948,Solenoid_1_FieldVolume
-259.603653,-27.294576,2930.000000,-3.744340,-0.393678,11.022070,pi+,2330.900414,Solenoid_1_FieldVolume
-475.529357,22.655244,6810.000000,-1.959629,0.093361,3.149163,pi+,263.521720,Solenoid_1_FieldVolume
115.009848,-42.682355,380.000000,3.080668,-1.143295,20.469558,pi-,1051.539397,Solenoid_1_FieldVolume
24.156989,151.191571,4215.500000,0.204415,1.279373,6.298326,pi-,1050.555386,Solenoid_1_FieldVolume
109.688368,198.318233,6455.211038,-0.000000,-0.000000,3.149163,pi-,325.836627,Solenoid_1_FieldVolume
-45.433395,186.757810,10210.000000,-0.187228,0.769618,3.149163,mu-,148.542655,Solenoid_1_FieldVolume
