x,y,z,bx,by,bz,particle,energy,volume
39.548391,-77.272125,1230.000000,0.144705,-0.282734,20.469558,pi+,1288.390394,Solenoid_1_FieldVolume
68.828793,167.553097,5110.500000,0.096862,0.235794,7.872907,pi+,1287.609156,Solenoid_1_FieldVolume
-94.377951,-172.349036,9360.000000,-0.053127,-0.097017,3.149163,pi+,1286.924920,Solenoid_1_FieldVolume
58.087819,458.009355,13240.000000,0.032698,0.257819,3.149163,pi+,1286.223997,Solenoid_1_FieldVolume
80.295331,-115.092095,17490.000000,0.045199,-0.064787,3.149163,pi+,1284.812793,Solenoid_1_FieldVolume
96.905514,-123.563440,2080.000000,0.272747,-0.347777,15.745814,mu+,416.589065,Solenoid_1_FieldVolume
585.098384,364.380550,5960.000000,0.493686,0.307452,4.723744,mu+,415.798601,Solenoid_1_FieldVolume
43.904795,-37.271399,380.000000,0.160645,-0.136374,20.469558,pi+,321.012200,Solenoid_1_FieldVolume
89.979770,-133.744680,4215.500000,0.126537,-0.188082,7.872907,pi+,319.850192,Solenoid_1_FieldVolume
-81.481963,-81.658825,8510.000000,-0.045867,-0.045967,3.149163,pi+,318.956980,Solenoid_1_FieldVolume
-103.681115,54.796705,1230.000000,-0.379362,0.200497,20.469558,pi-,696.392145,Solenoid_1_FieldVolume
-151.978860,85.999956,4215.500000,-0.213724,0.120940,7.872907,mu-,656.676435,Solenoid_1_FieldVolume
140.444695,-141.677656,8510.000000,0.079058,-0.079752,3.149163,mu-,655.171105,Solenoid_1_FieldVolume
-16.400241,-91.680665,2461.835385,0.000000,0.000000,11.022070,pi+,1136.812120,Solenoid_1_FieldVolume
-10.130254,-129.775788,1250.000000,0.028512,0.365262,15.745814,pi+,233.898251,Solenoid_1_FieldVolume
-45.505102,-3.979888,400.000000,0.166500,0.014562,20.469558,mu-,196.201562,Solenoid_1_FieldVolume
-144.649382,30.430073,380.000000,-0.529262,0.111342,20.469558,pi-,1562.805766,Solenoid_1_FieldVolume
79.011295,-115.941400,4215.500000,0.111112,-0.163046,7.872907,pi-,1561.913083,Solenoid_1_FieldVolume
-583.137162,-24.280018,8510.000000,-0.328255,-0.013668,3.149163,pi-,1561.249236,Solenoid_1_FieldVolume
438.053906,-482.579441,12390.000000,0.246586,-0.271650,3.149163,pi-,1559.608883,Solenoid_1_FieldVolume
60.558434,509.111717,16640.000000,0.034089,0.286586,3.149163,pi-,1558.806098,Solenoid_1_FieldVolume
106.977811,-51.250850,2080.000000,0.301096,-0.144249,15.745814,pi-,746.305823,Solenoid_1_FieldVolume
-1.035361,-182.757212,5960.000000,-0.000874,-0.154204,4.723744,pi-,745.611726,Solenoid_1_FieldVolume
95.615959,-297.350568,10210.000000,0.053823,-0.167382,3.149163,pi-,744.935249,Solenoid_1_FieldVolume
-122.327870,-43.944977,14090.000000,-0.068860,-0.024737,3.149163,pi-,744.151616,Solenoid_1_FieldVolume
-116.463142,197.172292,380.000000,-0.426131,0.721440,20.469558,pi+,254.552508,Solenoid_1_FieldVolume
-99.706107,142.451341,4215.500000,-0.140214,0.200326,7.872907,pi+,253.217751,Solenoid_1_FieldVolume
-484.004149,-97.991875,7660.000000,-0.408387,-0.082682,4.723744,mu+,207.832499,Solenoid_1_FieldVolume
-648.310169,-263.996069,11220.061555,0.000000,0.000000,3.149163,mu+,206.573740,Solenoid_1_FieldVolume
29.849080,-50.987856,2930.000000,0.058767,-0.100384,11.022070,pi-,197.113186,Solenoid_1_FieldVolume
-184.353040,-11.454476,5960.000000,-0.155551,-0.009665,4.723744,mu-,144.288548,Solenoid_1_FieldVolume
-212.210777,47.170553,10210.000000,-0.119456,0.026553,3.149163,mu-,142.682543,Solenoid_1_FieldVolume
-445.497693,165.650419,14090.000000,-0.250776,0.093247,3.149163,mu-,141.378197,Solenoid_1_FieldVolume
-114.306346,-122.102067,2930.000000,-0.225045,-0.240393,11.022070,pi-,316.708045,Solenoid_1_FieldVolume
5.335817,-100.131616,-470.000000,0.019523,-0.366375,20.469558,pi+,1676.036350,Solenoid_1_FieldVolume
59.013342,-162.970853,3780.000000,0.099658,-0.275215,9.447488,pi+,1675.270746,Solenoid_1_FieldVolume
-27.648165,179.913873,7660.000000,-0.023329,0.151805,4.723744,pi+,1674.608805,Solenoid_1_FieldVolume
290.155267,-201.319356,11540.500000,0.163332,-0.113325,3.149163,pi+,1673.655565,Solenoid_1_FieldVolume
-195.458423,-311.518356,15790.000000,-0.110026,-0.175358,3.149163,pi+,1672.844082,Solenoid_1_FieldVolume
65.914371,15.371071,2080.000000,0.185520,0.043263,15.745814,pi-,1093.565454,Solenoid_1_FieldVolume
0.291838,521.865649,5960.000000,0.000246,0.440333,4.723744,pi-,1092.802732,Solenoid_1_FieldVolume
551.318051,292.047837,10210.000000,0.310344,0.164397,3.149163,pi-,1090.703592,Solenoid_1_FieldVolume
