X_mm,Y_mm,Z_mm,Bx_Tesla,By_Tesla,Bz_Tesla,Particle,Volume
5.9041,1.9150,3480.0000,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
13.4715,-2.9006,7860.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
17.9627,-10.7639,12240.5000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
20.3400,-18.5547,16490.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
1.0107,3.8914,1780.0000,0.00000000,0.00000000,16.66482426,proton,Solenoid_1_FieldVolume
12.0638,7.4326,6160.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
23.1168,4.5489,10410.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
33.6147,-0.3948,14790.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
0.0000,0.0000,80.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
8.4781,-0.1724,3915.5000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
16.1575,-10.2472,8710.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
18.9485,-21.0694,13090.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
19.8524,-31.7418,17340.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
52.4211,657.2313,950.0000,0.00000000,0.00000000,16.66482426,anti_nu_e,Solenoid_1_FieldVolume
695.8469,312.3853,1984.7398,0.00000000,0.00000000,11.10988284,anti_nu_e,Solenoid_1_FieldVolume
43.3459,-220.2450,2630.0000,0.00000000,0.00000000,11.10988284,gamma,Solenoid_1_FieldVolume
445.5270,-66.2529,-1600.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
596.2767,-357.9965,950.0000,0.00000000,0.00000000,16.66482426,anti_nu_e,Solenoid_1_FieldVolume
-675.1103,416.9751,1513.5373,0.00000000,0.00000000,16.66482426,neutron,Solenoid_1_FieldVolume
-125.1207,216.0573,930.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
147.2862,51.8153,2630.0000,0.00000000,0.00000000,11.10988284,gamma,Solenoid_1_FieldVolume
413.6996,145.4918,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
646.9938,227.5229,10845.5000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-123.8585,225.3930,3915.5000,0.00000000,0.00000000,11.10988284,pi-,Solenoid_1_FieldVolume
-362.2907,-599.8168,8710.0000,0.00000000,0.00000000,1.85164714,pi-,Solenoid_1_FieldVolume
-49.1749,354.8548,10410.0000,0.00000000,0.00000000,1.85164714,nu_e,Solenoid_1_FieldVolume
-169.5579,689.9713,8985.4332,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
488.5489,-515.8781,8840.1236,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
559.9444,454.6030,7438.5296,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-487.3989,516.9648,10205.3486,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
-133.2931,-41.4320,8730.0000,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-51.5812,551.9215,10410.0000,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
37.1150,-628.5141,9580.0000,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-630.9646,326.6404,9794.1338,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-497.9118,-231.2377,9560.0000,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
-574.9107,417.4781,9452.2033,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-150.5750,235.7122,8730.0000,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
48.9367,708.8127,9059.6797,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
509.8018,494.8862,9266.9215,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
106.0837,0.3654,3915.5000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
472.7385,-199.2038,8710.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
22.4566,121.2831,100.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
195.6518,-25.0823,100.0000,0.00000000,0.00000000,24.07141282,nu_mu,Solenoid_1_FieldVolume
-191.5759,-812.7261,-30.7675,0.00000000,0.00000000,24.07141282,nu_e,Solenoid_1_FieldVolume
687.4907,196.2137,1780.0000,0.00000000,0.00000000,16.66482426,neutron,Solenoid_1_FieldVolume
-623.2558,-555.6773,399.2420,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
831.4486,76.9301,723.1965,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
226.6022,489.4841,100.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-118.1142,-339.5169,1780.0000,0.00000000,0.00000000,16.66482426,e-,Solenoid_1_FieldVolume
-90.5204,36.3609,4895.5000,0.00000000,0.00000000,9.25823570,e-,Solenoid_1_FieldVolume
139.4083,205.5486,2558.3711,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
143.4139,189.5432,2485.1303,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
120.4005,163.2548,2533.6947,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
127.3628,180.6776,2603.7757,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
121.7210,187.4108,2611.1252,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
121.7338,187.4228,2603.7690,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
