ParticleType,Energy
2pi+,82.3682
pi-,623.056
2mu-,513.566
pi-,910.838
pi+,429.764
2pi+,428.592
3pi+,427.381
pi-,13.1428
pi-,1429.22
pi-,1123.89
2pi-,1003.4
pi+,598.932
2pi+,587.269
pi+,1609.17
pi+,1789.53
pi-,1504.63
3pi+,308.874
pi+,709.046
pi-,1307.64
mu+,62.2649
mu-,302.985
2mu-,278.085
3mu-,181.302
mu-,1307.66
3mu-,992.626
pi-,655.731
3mu-,440.769
pi-,461.695
2pi-,460.504
3mu-,448.567
mu+,18.705
2mu+,14.5378
3mu+,9.25634
pi+,1256.16
2pi+,1255.06
3pi+,1253.82
pi-,281.53
pi+,497.956
2pi+,459.344
pi-,660.807
2pi-,648.495
mu+,82.1195
2mu+,80.0402
3mu+,78.4907
pi+,505.788
pi-,344.984
2pi-,343.591
3pi-,271.632
pi+,157.482
2pi+,156.12
3pi+,154.818
pi-,186.789
pi+,545.974
2pi+,495.214
3pi+,413.839
mu+,187.963
2mu+,186.672
3mu+,140.195
mu+,31.5866
mu+,106.553
pi-,309.363
2pi-,308.192
3pi-,306.722
mu+,205.676
2mu+,193.791
3mu+,137.566
pi+,628.153
2pi+,515.68
mu+,296.709
2mu+,261.969
3mu+,170.859
pi-,141.916
pi-,584.496
pi+,473.661
2pi+,472.353
3mu+,311.32
pi+,130.178
pi-,387.324
3pi-,96.2119
2pi+,626.617
mu+,220.718
2mu+,74.8657
3mu+,110.645
3mu+,234.448
pi+,219.004
2pi+,217.614
pi-,659.794
2pi-,658.681
3pi-,466.15
pi+,1338.56
pi-,325.697
2pi-,237.426
3pi-,78.9494
pi-,571.466
2pi+,358.81
2pi+,919.846
3pi+,867.706
pi-,469.88
pi+,650.952
mu+,114.482
2mu+,111.201
pi-,629.53
2pi-,628.319
3pi-,627.191
pi+,1799.05
mu+,438.224
2mu+,369.367
3mu+,248.414
pi+,721.204
pi+,211.178
pi+,1936.1
mu+,265.841
pi+,905.818
2pi+,904.65
3mu+,607.337
pi-,310.219
pi-,1344.06
pi-,675.177
3pi-,384.007
pi+,483.194
3mu+,116.269
mu+,89.0896
2mu+,86.8072
3mu+,85.0202
mu+,2213.18
3mu+,1901.68
pi+,184.94
2pi+,182.725
3pi+,181.201
pi-,47.3649
2pi-,44.8189
3mu-,13.4068
2pi-,407.862
mu-,205.344
3mu+,92.0112
pi-,89.1549
2mu-,67.6953
pi+,530.559
2pi+,529.064
pi+,391.459
pi-,407.19
2pi-,406.045
3pi-,338.628
3pi-,929.43
pi+,736.842
3pi+,429.287
3mu+,575.39
pi+,479.835
pi+,1263.11
pi-,1024.88
2pi-,1023.71
2pi+,255.666
3pi-,805.837
mu+,441.48
2mu+,439.919
3mu+,438.785
pi+,1434.11
2pi+,1432.74
3pi+,1278.98
pi-,420.901
pi+,307.044
2mu+,274.265
3mu+,185.033
pi+,3196.84
pi+,189.944
pi+,975.365
2pi+,946.657
3pi+,860.914
pi+,258.533
2pi+,257.237
3mu+,61.8944
pi-,991.016
2pi-,952.778
2pi-,314.154
mu+,431.781
2mu+,430.685
3mu+,381.691
mu-,47.7725
mu+,1500.19
pi+,459.959
2pi+,458.389
3mu+,265.998
pi+,1019.21
2pi+,1017.95
3pi+,537.398
3pi-,661.854
mu-,145.401
2mu-,144.243
3mu-,86.5692
pi-,1615.1
2pi-,213.13
pi+,488.987
2pi+,487.611
3pi+,445.133
pi+,452.281
pi+,1109.81
pi-,937.009
pi+,296.209
pi+,755.388
2pi+,753.592
3pi+,751.458
pi-,694.273
pi+,341.481
pi+,1903.11
pi+,560.076
pi+,501.406
2pi+,500.243
3pi+,499.102
mu-,113.051
pi+,393.601
2pi+,392.395
pi-,216.123
2pi-,214.945
3mu-,99.5977
mu+,14.4581
2mu+,9.4231
pi-,352.701
pi+,742.376
pi-,1325
mu-,642.833
2mu-,641.64
3mu-,640.492
pi+,661.714
2pi+,660.041
3pi+,555.743
mu+,79.7638
mu+,20.6334
mu-,241.492
pi-,736.544
2pi-,735.393
3pi-,733.875
pi+,628.08
mu+,21.7983
2mu+,18.5201
pi+,1235.26
2pi+,1193.14
3pi+,1085.33
pi-,511.375
2mu-,337.161
3mu-,272.951
pi+,150.473
2mu+,116.698
3mu+,115.285
pi-,1758.92
pi+,37.04
pi+,1542.11
mu+,641.597
2mu+,546.78
pi-,451.48
pi+,415.872
3mu+,101.133
mu-,202.171
2mu-,201.009
3mu-,138.149
pi-,861.169
pi+,608.629
2pi+,607.394
3pi+,605.929
mu+,239.01
2mu+,237.744
3mu+,188.709
pi+,1671.25
2mu+,997.61
3mu+,906.72
mu+,1.07775
3mu+,201.506
pi+,597.965
pi-,389.365
2pi-,123.508
2pi-,85.4286
pi+,755.688
mu-,220.701
2mu-,174.443
3mu-,171.942
mu+,17.3661
mu+,466.711
2mu+,463.951
3mu+,412.497
pi-,197.427
mu-,90.2995
pi-,1878.37
pi+,773.862
2pi-,193.7
3mu+,274.055
pi+,165.955
3mu-,83.157
mu-,428.996
3mu-,169.208
pi-,209.971
2pi-,208.818
pi+,936.512
2pi+,840.792
3pi+,781.508
pi-,460.555
2mu-,427.359
3mu-,426.192
pi+,2361.4
2pi+,2360.21
3pi+,2201.43
pi+,1832.69
mu-,86.7492
2mu-,85.2671
3mu-,65.7466
pi-,225.984
3pi-,747.653
3pi-,542.125
pi+,363.426
2pi+,287.55
3mu+,167.85
mu+,725.749
2mu+,724.434
3mu+,624.661
pi-,426.887
2mu-,153.857
3mu-,62.8156
mu-,197.422
2mu-,196.321
3mu-,191.376
pi-,1414.87
pi+,1390.37
2pi+,1388.92
3pi+,1387.52
pi+,314.239
2pi+,291.136
3pi+,289.633
pi+,957.731
2pi+,956.444
3pi+,955.168
pi-,460.685
2pi-,442.356
pi+,443.347
2pi+,432.249
pi+,683.78
pi-,427.008
2pi-,425.824
3pi-,376.995
pi-,294.757
pi-,1859.65
pi+,488.774
2pi+,452.119
3pi+,2367.8
pi+,2216.43
2pi+,2215.14
pi+,256.459
2pi+,208.098
3pi+,515.254
3pi-,83.6697
3pi-,701.216
3pi+,1387.66
pi+,812.132
pi+,746.192
2pi+,727.866
3pi+,556.476
pi+,4514.27
2pi+,4513.03
3pi+,4511.67
pi-,889.1
pi+,566.253
2pi+,510.783
pi+,1070.46
2pi+,1066.56
3pi+,1065.25
pi+,620.918
mu-,249.719
2mu-,248.6
3mu-,149.246
mu-,292.627
2mu-,174.304
3mu-,161.948
3pi+,709.428
3pi-,257.274
pi-,1610.72
pi+,229.424
pi-,295.873
2pi-,294.647
3pi-,293.489
pi-,2278.01
2mu-,1655.23
3mu-,1653.52
2pi+,571.452
3mu+,205.45
pi+,1212.7
pi+,728.616
2pi+,161.207
2mu-,82.3161
3mu-,68.2214
pi+,26.2325
2mu+,12.4712
3mu+,5.45804
pi+,637.507
3mu+,58.599
mu-,281.675
2mu-,249.009
3mu-,119.047
mu+,530.421
2mu+,529.14
3mu+,467.109
pi+,680.623
2pi+,679.339
3pi+,677.956
pi+,455.483
3mu+,158.611
pi-,1063.34
2pi-,500.931
pi+,434.844
2mu+,432.951
3mu+,389.167
pi+,102.715
mu-,382.548
2mu-,292.158
3mu-,199.384
pi+,2454.34
pi-,1201.38
2pi-,1148.19
pi+,428.725
2pi+,427.681
2pi+,558.267
2pi-,407
pi-,344.254
pi-,319.594
mu+,160.436
2mu+,156.749
3mu+,129.808
pi+,256.983
2pi+,255.64
3pi+,195.799
pi+,403.485
3mu+,77.1875
pi-,1801.56
pi-,1081.9
2mu-,762.866
3mu-,658.305
mu+,1431.05
3mu+,1152.54
pi-,528.264
2pi-,527.032
3pi-,524.167
pi+,675.191
2mu+,621.104
3mu+,513.861
pi-,358.917
2pi-,58.6904
pi+,721.54
2pi+,696.431
3pi+,597.959
pi+,239.506
pi+,136.933
pi+,55.5299
pi-,117.973
pi-,157.029
pi+,599.339
2pi+,503.057
pi+,632.541
2pi+,631.284
3mu+,328.189
3mu-,42.683
pi-,77.7578
2pi-,75.7833
3pi-,73.9044
3mu-,149.37
pi+,1176.64
2pi+,1064.61
pi-,71.8475
mu-,225.72
2mu-,161.401
pi+,552.956
pi+,1138.87
2pi+,1137.44
3pi+,1135.7
pi+,809.423
pi-,453.415
2pi-,452.234
3mu-,348.444
mu+,13.1752
2mu+,7.57621
pi-,562.634
2pi-,483.325
pi-,1422.41
2mu-,11.0576
3mu-,3.51103
mu-,169.266
pi+,546.745
2pi+,428.426
pi-,900.307
2pi-,895.761
3pi-,833.178
pi+,1289.67
pi+,1322.84
pi-,230.903
2pi-,229.532
mu+,111.642
pi-,406.335
pi-,793.187
2pi-,791.784
3pi-,671.539
2mu+,491.917
pi+,390.12
2pi+,388.908
pi+,819.851
2pi+,818.125
3pi+,816.931
2pi+,829.71
pi+,4322.24
pi+,238.996
2pi+,237.835
3mu+,145.482
pi+,365.633
pi-,769.274
3pi-,551.071
pi-,650.019
pi+,839.581
pi+,609.049
2pi+,514.774
mu+,379.215
2mu+,378.14
3mu+,304.359
mu+,314.29
2mu+,301.741
3mu+,232.038
3pi-,1060.92
2pi+,455.124
2pi-,162.992
pi-,418.865
mu+,29.8535
pi-,1870.3
pi+,909.921
2pi+,908.729
3mu+,789.825
pi-,1578.23
pi-,198.42
2pi-,197.083
3pi-,195.777
pi-,460.227
mu+,199.457
2mu+,198.27
3mu+,99.1674
pi+,838.231
3mu+,331.478
pi+,1311.44
pi+,513.434
2pi+,512.227
mu-,575.546
2mu-,506.14
mu+,22.2132
pi+,773.618
3mu+,109.991
mu+,285.573
2mu+,198.476
3mu+,131.021
pi+,477.654
pi+,174.602
2pi+,173.024
3mu+,180.506
pi+,712.576
2mu+,609.916
3mu+,546.349
mu-,106.926
mu-,1004.34
3mu-,668.984
pi+,1331.7
pi-,574.333
