Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
5,5.9041,1.9150,3480.0000,6.2069,0.00000000,0.00000000,7.40658856,7.40658856,proton,Solenoid_1_FieldVolume,1
10,13.4715,-2.9006,7860.0000,13.7803,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
15,17.9627,-10.7639,12240.5000,20.9409,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
20,20.3400,-18.5547,16490.0000,27.5316,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
25,1.0107,3.8914,1780.0000,4.0205,0.00000000,0.00000000,16.66482426,16.66482426,proton,Solenoid_1_FieldVolume,1
30,12.0638,7.4326,6160.0000,14.1696,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
35,23.1168,4.5489,10410.0000,23.5601,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
40,33.6147,-0.3948,14790.0000,33.6170,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
45,0.0000,0.0000,80.0000,0.0000,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,1
50,8.4781,-0.1724,3915.5000,8.4798,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,1
55,16.1575,-10.2472,8710.0000,19.1330,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
60,18.9485,-21.0694,13090.0000,28.3366,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
65,19.8524,-31.7418,17340.0000,37.4387,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
120,361.6115,32.7945,100.0000,363.0955,0.00000000,0.00000000,24.07141282,24.07141282,anti_nu_e,Solenoid_1_FieldVolume,60
245,695.8469,312.3853,1984.7398,762.7500,0.00000000,0.00000000,11.10988284,11.10988284,anti_nu_e,Solenoid_1_FieldVolume,117
410,-231.8691,560.0516,950.0000,606.1526,0.00000000,0.00000000,16.66482426,16.66482426,nu_e,Solenoid_1_FieldVolume,229
530,-759.3104,-230.4125,1002.0802,793.5000,0.00000000,0.00000000,16.66482426,16.66482426,gamma,Solenoid_1_FieldVolume,22
1400,659.8250,-440.7643,1062.2497,793.5000,0.00000000,0.00000000,16.66482426,16.66482426,neutron,Solenoid_1_FieldVolume,14
1440,20.7387,-38.5831,100.0000,43.8035,0.00000000,0.00000000,24.07141282,24.07141282,anti_nu_e,Solenoid_1_FieldVolume,798
1650,250.7452,-708.4313,930.0000,751.4972,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,906
